gene,level
TP53,0
RGS14,0
ANKRD7,0
MAL,0
SEC14L2,0
HDAC1,1
AMIGO2,1
C10orf90,1
C22orf23,1
C2CD6,1
CTAG1A,1
FNDC8,1
LIMS3,1
MARVELD1,1
MINDY4,1
PCP2,1
PLLP,1
PLPP4,1
RHPN1,1
SEC14L3,1
SLC25A34,1
SLC35E2B,1
TMEM35A,1
IL1B,2
RUVBL1,2
EGFR,3
ARID4B,3
EPYC,3
MMP24,3
NINJ1,3
MAPK1,4
ANKRD13B,4
GPR82,4
IGSF8,4
MTRNR2L5,4
NECTIN4,4
ODF3L2,4
OR14I1,4
SEPTIN14,4
SLC44A3,4
SPINDOC,4
SPINK6,4
IFNG,5
EP300,6
AKR1E2,6
CARD6,6
CLEC2B,6
CLEC4G,6
PSD2,6
SIGLEC15,6
TNF,7
HMGN2,7
MYC,8
ANKRD24,8
C11orf42,8
C1QTNF1,8
CASKIN2,8
ENSP00000293826,8
H7C2Y5_HUMAN,8
SPPL2B,8
SYTL2,8
ZAN,8
IL6,9
TRIM28,9
DENND4A,9
FOS,10
ZNF337,10
ZNF584,10
ZNF471,10
ZNF557,10
ZNF675,10
ZNF155,10
ZNF33A,10
ZNF91,10
ZNF287,10
ZNF439,10
ZNF679,10
ZNF709,10
ANXA2R,10
AVL9,10
CHM,10
CHRNA7,10
DENND5A,10
DMAC2,10
ENSP00000481316,10
IGHV3-72,10
K7ERI5_HUMAN,10
M0R036_HUMAN,10
M0R233_HUMAN,10
M0R2Z0_HUMAN,10
MELTF,10
MEP1B,10
MMP19,10
RIC8A,10
V9GYS6_HUMAN,10
ZIK1,10
ZNF140,10
ZNF229,10
ZNF230,10
ZNF233,10
ZNF433,10
ZNF454,10
ZNF479,10
ZNF547,10
ZNF555,10
ZNF560,10
ZNF586,10
ZNF600,10
ZNF607,10
ZNF619,10
ZNF620,10
ZNF662,10
ZNF678,10
ZNF695,10
ZNF699,10
ZNF705A,10
ZNF705D,10
ZNF705E,10
ZNF705G,10
ZNF716,10
ZNF721,10
ZNF729,10
ZNF732,10
ZNF735,10
ZNF749,10
ZNF772,10
ZNF799,10
ZNF93,10
STAT1,11
ZNF559,11
ZNF208,11
ATP6AP1L,11
CCDC190,11
CRISPLD1,11
DEFB115,11
DENND4B,11
FRG2B,11
KIAA0753,11
KIAA1755,11
LRRC8E,11
MAP10,11
MORN1,11
MTRNR2L7,11
NPIPB15,11
NUDT22,11
OR4F17,11
OR52B2,11
PRR32,11
RABEPK,11
SLC25A51,11
TMEM205,11
TMEM89,11
TMEM98,11
TRIM60,11
UCN2,11
USP54,11
ZC2HC1A,11
ZNF222,11
ZNF254,11
ZNF415,11
ZNF514,11
ZNF610,11
ZNF681,11
ZNF714,11
JUN,12
C12orf42,12
CAPN12,12
FAM171A1,12
METTL26,12
OR5M1,12
ZNF257,12
ZNF99,12
BRCA2,13
SSRP1,13
IKBKG,13
SOX2,14
POLR2H,14
IGSF23,14
TTC7A,14
NANOG,15
FAHD2A,15
NCCRP1,15
PRSS12,15
RBBP4,16
C3orf20,16
YBX1,17
ARID4A,17
FOXM1,17
ZNF727,17
NFKBIA,18
EIF5B,18
XRCC5,18
ALG10,18
CARMIL3,18
CCDC83,18
CFC1B,18
CLCA4,18
COL28A1,18
CTAGE4,18
CTAGE6,18
CTAGE8,18
DTD1,18
ENSP00000497876,18
FAM240C,18
GDA,18
HHLA1,18
LOC102724250,18
MFSD4B,18
MTFR1,18
MUC19,18
N4BP3,18
NBPF15,18
NBPF19,18
NBPF26,18
